subject,run,consigne,condition,clean_psnr_img,clean_ssim_img,clean_ssim_grad,intra_psnr_img,intra_ssim_img,intra_ssim_grad
sub-01,run-02,nodding,preproc,22.69804703266616,0.8687365337217234,0.784897930766425,22.69804703266616,0.8687365337217234,0.784897930766425
sub-01,run-02,nodding,jdac,22.83415539348791,0.8699682192765624,0.7385728987054117,24.686193871208445,0.9092198549538058,0.8386181380627823
sub-01,run-02,nodding,jdac_antiartonly,22.603944836396998,0.8759745299396937,0.7894848298935022,22.84747374153924,0.8846867874707273,0.8034043512743084
sub-01,run-02,nodding,jdac_nodenoise,21.47396781571187,0.8508050643515989,0.7366430902954194,22.01199357522328,0.8758288505854707,0.7923548351122646
sub-01,run-03,shaking,preproc,19.260442634185072,0.7756168957306967,0.6713020465926461,19.260442634185072,0.7756168957306967,0.6713020465926461
sub-01,run-03,shaking,jdac,19.75359379176414,0.7861283666931395,0.6494490207908059,20.7672314900031,0.820627759364705,0.7335195997377761
sub-01,run-03,shaking,jdac_antiartonly,19.627947416409828,0.7896019092753858,0.6850250893207559,19.525671743381757,0.7908203057447372,0.679786558512206
sub-01,run-03,shaking,jdac_nodenoise,19.610917084789325,0.7825369243793608,0.6618436915099054,19.260230477184855,0.7756736836007323,0.6520351061588058
sub-02,run-02,nodding,preproc,12.595471131953456,0.37641699373895493,0.369792408850162,12.595471131953456,0.37641699373895493,0.369792408850162
sub-02,run-02,nodding,jdac,12.790371782157244,0.3930868396022876,0.37348484416429606,12.881729692418475,0.40596018971929226,0.38858395091024256
sub-02,run-02,nodding,jdac_antiartonly,12.694555909403125,0.3856070568407591,0.3716939983908307,12.585192226414371,0.38728868511784115,0.3655093459783266
sub-02,run-02,nodding,jdac_nodenoise,12.862360475435725,0.39634572805536855,0.3642337051972628,12.710396879623174,0.3939136200526773,0.3512778930707776
sub-02,run-03,shaking,preproc,13.108376663877742,0.39765889625878165,0.3955106404859554,13.108376663877742,0.39765889625878165,0.3955106404859554
sub-02,run-03,shaking,jdac,13.323576392716143,0.41620776743158866,0.3988189731981084,13.385609639815062,0.42598315959370664,0.4113893924374016
sub-02,run-03,shaking,jdac_antiartonly,13.210069450372997,0.4065189483935526,0.39603507849943403,13.111667890294743,0.40827165411333316,0.3902377117413583
sub-02,run-03,shaking,jdac_nodenoise,13.303817681230202,0.4136776761031042,0.38347330366591365,13.137219691630522,0.41027296725531276,0.3707376178951196
sub-03,run-02,nodding,preproc,16.923590665702356,0.5769739885438383,0.5122269771764941,16.923590665702356,0.5769739885438383,0.5122269771764941
sub-03,run-02,nodding,jdac,17.506542971212827,0.5942294941627633,0.5144039864836187,17.729863958687844,0.6208793021705438,0.5483254691503201
sub-03,run-02,nodding,jdac_antiartonly,17.522244413225255,0.5912602148847775,0.5168465492908412,17.233928997433704,0.5900687033254536,0.5080084338125156
sub-03,run-02,nodding,jdac_nodenoise,17.630466851181982,0.5938279578376886,0.5060421798361753,16.960563366898388,0.572808041924401,0.48252876944544837
sub-03,run-03,shaking,preproc,16.547067063787978,0.5437342583961855,0.4876166496353682,16.547067063787978,0.5437342583961855,0.4876166496353682
sub-03,run-03,shaking,jdac,16.706343970465458,0.5544847317495502,0.48914604006492163,16.913114112610423,0.5801109680225085,0.5125355142013045
sub-03,run-03,shaking,jdac_antiartonly,16.752010276973547,0.5544409100893052,0.4922021655462594,16.483048115880536,0.5522020778185498,0.4825784583188346
sub-03,run-03,shaking,jdac_nodenoise,16.68227608197609,0.5527135643454861,0.4785116566533171,16.03524104452481,0.5344045841200049,0.45877037647285046
sub-04,run-02,nodding,preproc,19.71530588788585,0.785318796123694,0.6572027675707554,19.71530588788585,0.785318796123694,0.6572027675707554
sub-04,run-02,nodding,jdac,20.83310397171975,0.812972010459164,0.66936721118979,21.591799352256054,0.8468867511836299,0.7369538028690694
sub-04,run-02,nodding,jdac_antiartonly,20.26097326674417,0.8007994031645488,0.6729841528239009,20.131786045570017,0.8030417383025769,0.6725764186096527
sub-04,run-02,nodding,jdac_nodenoise,20.08525568723508,0.7944099841839054,0.6534398270749294,19.55744874101686,0.7895642648213781,0.6633912979772615
sub-04,run-03,shaking,preproc,13.258624613243729,0.38686031366339124,0.3839244378922588,13.258624613243729,0.38686031366339124,0.3839244378922588
sub-04,run-03,shaking,jdac,13.782483356367095,0.41010857424840125,0.3888810911506905,13.817817236963545,0.4209312146339096,0.40285592017757893
