sub,condition,run,mae_within,mae_truth,offset,sd_moved,sd_truth
sub-01,brut,run-02,0.24979411764705883,0.24979411764705883,0.0,0.2738582780436424,0.4202972692709633
sub-01,preproc,run-02,0.20239705882352943,0.23623529411764707,0.09248529411764708,0.27743497446621185,0.4202972692709633
sub-01,preproc,run-03,0.2996470588235294,0.3317205882352941,0.09248529411764708,0.27946869312855344,0.4202972692709633
sub-01,jdac,run-02,0.24691176470588239,0.37616176470588236,0.2655441176470589,0.3488678751864921,0.4202972692709633
sub-01,jdac,run-03,0.3690147058823529,0.4880588235294119,0.2655441176470589,0.23456444421502465,0.4202972692709633
sub-01,jdac_antiartonly,run-02,0.2111911764705882,0.2325882352941176,0.10427941176470587,0.28956247307293786,0.4202972692709633
sub-01,jdac_antiartonly,run-03,0.353764705882353,0.3488676470588235,0.10427941176470587,0.25674167342769133,0.4202972692709633
sub-01,jdac_nodenoise,run-02,0.16229411764705884,0.24989705882352944,0.20872058823529413,0.33568965969999665,0.4202972692709633
sub-01,jdac_nodenoise,run-03,0.330764705882353,0.319014705882353,0.20872058823529413,0.2897701410353477,0.4202972692709633
sub-02,brut,run-02,0.3263088235294118,0.3263088235294118,0.0,0.34217928724293944,0.3311704318271689
sub-02,brut,run-03,0.2744558823529411,0.2744558823529411,0.0,0.18771010236141747,0.3311704318271689
sub-02,preproc,run-02,0.3737794117647059,0.3697794117647059,0.07464705882352941,0.36916267640509204,0.3311704318271689
sub-02,preproc,run-03,0.2594558823529412,0.29692647058823535,0.07464705882352941,0.21251774289403727,0.3311704318271689
sub-02,jdac,run-02,0.39658823529411763,0.372485294117647,0.2525735294117647,0.3602652239762707,0.3311704318271689
sub-02,jdac,run-03,0.32394117647058823,0.3855147058823529,0.2525735294117647,0.17562961615853112,0.3311704318271689
sub-02,jdac_antiartonly,run-02,0.4791323529411765,0.4012058823529412,0.21010294117647058,0.42263680087298483,0.3311704318271689
sub-02,jdac_antiartonly,run-03,0.3444999999999999,0.30319117647058835,0.21010294117647058,0.20825852189117855,0.3311704318271689
sub-02,jdac_nodenoise,run-02,0.7177205882352942,0.5018676470588236,0.30508823529411766,0.4746271583259268,0.3311704318271689
sub-02,jdac_nodenoise,run-03,0.44039705882352936,0.26957352941176477,0.30508823529411766,0.22775947874464714,0.3311704318271689
sub-03,brut,run-02,0.3671176470588235,0.3671176470588235,0.0,0.34574863202853734,0.39367950084481895
sub-03,brut,run-03,0.22032352941176472,0.22032352941176472,0.0,0.2773537450050126,0.39367950084481895
