method,comparator,run,n_subjects,median_paired_difference_mm,ci95_low,ci95_high
brut,preproc,run-02,22,-0.0046397058823529486,-0.02163235294117645,0.008683823529411744
brut,preproc,run-03,20,0.0002794117647058475,-0.01803676470588239,0.012551470588235358
jdac,preproc,run-02,22,0.08586764705882353,0.07297794117647055,0.09704411764705884
jdac,preproc,run-03,20,0.0754191176470589,0.06017647058823536,0.08675735294117645
jdac_antiartonly,preproc,run-02,22,0.02111764705882349,0.006294117647058811,0.03679411764705881
jdac_antiartonly,preproc,run-03,21,0.0062647058823530055,-0.014602941176470596,0.017485294117646932
jdac_nodenoise,preproc,run-02,22,0.030654411764705902,0.015147058823529513,0.07189705882352931
jdac_nodenoise,preproc,run-03,21,0.015999999999999903,-0.004882352941176504,0.0323823529411765
