condition,identifier,aseg_found,lh_aparc_found,rh_aparc_found,stats_dir
jdac,sub-10_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-10_run-02/stats
jdac,sub-10_run-03,False,False,False,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-10_run-03/stats
jdac,sub-11_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-11_run-01/stats
jdac,sub-11_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-11_run-02/stats
jdac,sub-11_run-03,False,False,False,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-11_run-03/stats
jdac,sub-12_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-12_run-01/stats
jdac,sub-12_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-12_run-02/stats
jdac,sub-12_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-12_run-03/stats
jdac,sub-13_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-13_run-01/stats
jdac,sub-13_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-13_run-02/stats
jdac,sub-13_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-13_run-03/stats
jdac,sub-14_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-14_run-01/stats
jdac,sub-14_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-14_run-02/stats
jdac,sub-14_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-14_run-03/stats
jdac,sub-15_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-15_run-01/stats
jdac,sub-15_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-15_run-02/stats
jdac,sub-15_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-15_run-03/stats
jdac,sub-16_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-16_run-01/stats
jdac,sub-16_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-16_run-02/stats
jdac,sub-16_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-16_run-03/stats
jdac,sub-17_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-17_run-01/stats
jdac,sub-17_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-17_run-02/stats
jdac,sub-17_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-17_run-03/stats
jdac,sub-18_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-18_run-01/stats
jdac,sub-18_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-18_run-02/stats
jdac,sub-18_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-18_run-03/stats
jdac,sub-19_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-19_run-01/stats
jdac,sub-19_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-19_run-02/stats
jdac,sub-19_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-19_run-03/stats
jdac,sub-20_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-20_run-01/stats
jdac,sub-20_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-20_run-02/stats
jdac,sub-20_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-20_run-03/stats
jdac,sub-21_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-21_run-01/stats
jdac,sub-21_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-21_run-02/stats
jdac,sub-21_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-21_run-03/stats
jdac,sub-22_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-22_run-01/stats
jdac,sub-22_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-22_run-02/stats
jdac,sub-22_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_jdac_rigid_ds004332/sub-22_run-03/stats
