subject,method,run,mae_within,mae_truth,offset,sd_moved,sd_truth
sub-01,brut,run-02,0.2497941176470588,0.2497941176470588,0.0,0.2738582780436424,0.4202972692709633
sub-01,preproc,run-02,0.2023970588235294,0.236235294117647,0.092485294117647,0.2774349744662118,0.4202972692709633
sub-01,preproc,run-03,0.2996470588235294,0.3317205882352941,0.092485294117647,0.2794686931285534,0.4202972692709633
sub-01,jdac,run-02,0.2469117647058823,0.3761617647058823,0.2655441176470589,0.3488678751864921,0.4202972692709633
sub-01,jdac,run-03,0.3690147058823529,0.4880588235294119,0.2655441176470589,0.2345644442150246,0.4202972692709633
sub-01,jdac_antiartonly,run-02,0.2111911764705882,0.2325882352941176,0.1042794117647058,0.2895624730729378,0.4202972692709633
sub-01,jdac_antiartonly,run-03,0.353764705882353,0.3488676470588235,0.1042794117647058,0.2567416734276913,0.4202972692709633
sub-01,jdac_nodenoise,run-02,0.1622941176470588,0.2498970588235294,0.2087205882352941,0.3356896596999966,0.4202972692709633
sub-01,jdac_nodenoise,run-03,0.330764705882353,0.319014705882353,0.2087205882352941,0.2897701410353477,0.4202972692709633
sub-02,brut,run-02,0.3263088235294118,0.3263088235294118,0.0,0.3421792872429394,0.3311704318271689
sub-02,brut,run-03,0.2744558823529411,0.2744558823529411,0.0,0.1877101023614174,0.3311704318271689
sub-02,preproc,run-02,0.3737794117647059,0.3697794117647059,0.0746470588235294,0.369162676405092,0.3311704318271689
sub-02,preproc,run-03,0.2594558823529412,0.2969264705882353,0.0746470588235294,0.2125177428940372,0.3311704318271689
sub-02,jdac,run-02,0.3965882352941176,0.372485294117647,0.2525735294117647,0.3602652239762707,0.3311704318271689
sub-02,jdac,run-03,0.3239411764705882,0.3855147058823529,0.2525735294117647,0.1756296161585311,0.3311704318271689
sub-02,jdac_antiartonly,run-02,0.4791323529411765,0.4012058823529412,0.2101029411764705,0.4226368008729848,0.3311704318271689
sub-02,jdac_antiartonly,run-03,0.3444999999999999,0.3031911764705883,0.2101029411764705,0.2082585218911785,0.3311704318271689
sub-02,jdac_nodenoise,run-02,0.7177205882352942,0.5018676470588236,0.3050882352941176,0.4746271583259268,0.3311704318271689
sub-02,jdac_nodenoise,run-03,0.4403970588235293,0.2695735294117647,0.3050882352941176,0.2277594787446471,0.3311704318271689
sub-03,brut,run-02,0.3671176470588235,0.3671176470588235,0.0,0.3457486320285373,0.3936795008448189
sub-03,brut,run-03,0.2203235294117647,0.2203235294117647,0.0,0.2773537450050126,0.3936795008448189
sub-03,preproc,run-02,0.3908823529411764,0.3675,0.0863823529411764,0.3945851521204574,0.3936795008448189
sub-03,preproc,run-03,0.1741029411764706,0.2068676470588235,0.0863823529411764,0.2877769170637774,0.3936795008448189
sub-03,jdac,run-02,0.450235294117647,0.4011176470588236,0.1772941176470588,0.3930950718510834,0.3936795008448189
sub-03,jdac,run-03,0.2199117647058823,0.2418823529411764,0.1772941176470588,0.287097614352354,0.3936795008448189
sub-03,jdac_antiartonly,run-02,0.5173235294117647,0.496235294117647,0.0865882352941176,0.4883540817631349,0.3936795008448189
sub-03,jdac_antiartonly,run-03,0.2239852941176471,0.2241323529411764,0.0865882352941176,0.3576321639700243,0.3936795008448189
sub-03,jdac_nodenoise,run-02,0.4781617647058823,0.4731323529411764,0.1606176470588234,0.3982537827878459,0.3936795008448189
sub-03,jdac_nodenoise,run-03,0.2888823529411763,0.2554705882352941,0.1606176470588234,0.3873989587601695,0.3936795008448189
sub-04,brut,run-02,0.2420735294117647,0.2420735294117647,0.0,0.3385762098380592,0.376730168187359
sub-04,brut,run-03,0.3418235294117648,0.3418235294117648,0.0,0.2265365614030693,0.376730168187359
sub-04,preproc,run-02,0.2430294117647058,0.2592941176470588,0.0908529411764705,0.3152489250851457,0.376730168187359
sub-04,preproc,run-03,0.3434705882352942,0.3998235294117647,0.0908529411764705,0.2471757145139434,0.376730168187359
sub-04,jdac,run-02,0.3101470588235294,0.3694558823529412,0.2162205882352941,0.3977667464078024,0.376730168187359
sub-04,jdac,run-03,0.376014705882353,0.449735294117647,0.2162205882352941,0.3643597590583668,0.376730168187359
sub-04,jdac_antiartonly,run-02,0.2797058823529412,0.2774558823529411,0.2081323529411764,0.3649783449383326,0.376730168187359
sub-04,jdac_antiartonly,run-03,0.3622941176470589,0.3204558823529413,0.2081323529411764,0.2540022951373288,0.376730168187359
sub-04,jdac_nodenoise,run-02,0.2866764705882352,0.3052647058823529,0.2792941176470588,0.4272820247395109,0.376730168187359
sub-04,jdac_nodenoise,run-03,0.4646176470588236,0.3220882352941176,0.2792941176470588,0.3279582763645347,0.376730168187359
sub-05,brut,run-02,0.3012058823529412,0.3012058823529412,0.0,0.3786505065384751,0.3439168370773454
sub-05,brut,run-03,0.5133676470588235,0.5133676470588235,0.0,0.3042572542010743,0.3439168370773454
sub-05,preproc,run-02,0.280514705882353,0.2915441176470588,0.0752058823529411,0.3898780138346375,0.3439168370773454
sub-05,preproc,run-03,0.5245588235294116,0.5672941176470588,0.0752058823529411,0.3297177108925258,0.3439168370773454
