hemi,region,beta,se,p_value,model,n_obs,n_subjects,p_fdr
lh,parstriangularis,0.018314683944482706,0.024425960789020363,0.45337273856267,mixedlm,65,22,0.5625180274759054
lh,lateraloccipital,0.013007782252656764,0.018549026045980656,0.4831376686098786,mixedlm,65,22,0.5885495235793067
rh,isthmuscingulate,0.009507077601638074,0.016954064846573025,0.5749645285054787,mixedlm,65,22,0.6831689868878297
lh,isthmuscingulate,-0.008692694855078285,0.01575826438083309,0.5812034664568103,mixedlm,65,22,0.6831689868878297
rh,caudalmiddlefrontal,-0.010514639765836057,0.020923765787420324,0.6153008134019453,mixedlm,65,22,0.7107785258263851
lh,rostralmiddlefrontal,0.014829903962089505,0.03324453731843326,0.6555355318248615,mixedlm,65,22,0.7444217056316224
rh,superiorparietal,-0.005091358968228689,0.015104497283649126,0.7360598365217581,mixedlm,65,22,0.8219334841159632
rh,caudalanteriorcingulate,0.011693521869685173,0.03785846528234024,0.7574168476450395,mixedlm,65,22,0.8319168654461909
rh,postcentral,-0.00393807810942588,0.01605113317983845,0.8061886919715342,mixedlm,65,22,0.8712039090660127
lh,frontalpole,0.01186131643684177,0.06916155163152334,0.8638293761744623,mixedlm,65,22,0.9075995973267919
rh,lateraloccipital,0.0027213684155135867,0.016245023242125196,0.8669608093867862,mixedlm,65,22,0.9075995973267919
lh,superiorparietal,0.001538338558283087,0.019275883769474613,0.9363912478050952,mixedlm,65,22,0.9652032861990981
rh,medialorbitofrontal,0.0013661048328939098,0.031588141835195385,0.9655043250228502,mixedlm,65,22,0.9801331784322874
rh,posteriorcingulate,0.0003646725658681202,0.014692172016871084,0.9801978403035674,mixedlm,65,22,0.9801978403035674
lh,temporalpole,-0.4021940557055011,,,mixedlm,65,22,
